DOI,Title,Year,Date,Author,Institution,Country,Citation count,Open access,Abstract,Keyword,Topic,Subfield,Field,Domain,Author count,Institution count,Country count,Keyword count,Topic count,International collaboration,Multi-institution collaboration,Has abstract,Has author,Has institution,Has country,Has keyword,Has topic
10.1016/j.dss.2010.12.006,Cloud computing — The business perspective,2010,2010-12-25,Sean R. Marston | Zhi Li | Subhajyoti Bandyopadhyay | Juheng Zhang | Anand Ghalsasi,University of Florida,US,2360,Unknown,,Cloud computing | Perspective (graphical) | Computer science | Set (abstract data type) | History of computing | Data science | Key (lock) | Business | Management science | Knowledge management | Risk analysis (engineering) | Computer security | Engineering,Cloud Computing and Resource Management,Information Systems,Computer Science,Physical Sciences,5,1,1,13,1,False,False,False,True,True,True,True,True
10.1016/j.dss.2012.06.008,The impact of electronic word-of-mouth communication: A literature analysis and integrative model,2012,2012-07-10,Christy M.K. Cheung | Dimple R. Thadani,Hong Kong Baptist University | City University of Hong Kong,HK,1687,Unknown,,Scope (computer science) | Word of mouth | Key (lock) | Computer science | Psychology | Advertising | Business,Digital Marketing and Social Media,Sociology and Political Science,Social Sciences,Social Sciences,2,2,1,7,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2015.03.008,Recommender system application developments: A survey,2015,2015-04-05,Jie Lü | Dianshuang Wu | Mingsong Mao | Wei Wang | Guangquan Zhang,University of Technology Sydney | Centre for Quantum Computation and Communication Technology,AU,1587,Unknown,,Recommender system | Computer science | Information overload | World Wide Web | Variety (cybernetics) | Government (linguistics) | Product (mathematics) | Service (business) | E-commerce | Resource (disambiguation) | Data science | Artificial intelligence | Business | Marketing,Recommender Systems and Techniques,Information Systems,Computer Science,Physical Sciences,5,2,1,14,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2010.08.006,The application of data mining techniques in financial fraud detection: A classification framework and an academic review of literature,2010,2010-08-20,Eric W.T. Ngai | Yong Qiang Hu | Yung Hou Wong | Yijun Chen | Xin Sun,Hong Kong Polytechnic University | Guangdong University of Foreign Studies,HK | CN,1348,Unknown,,Credit card fraud | Computer science | Cluster analysis | Subject (documents) | Credit card | Anomaly detection | Data science | Finance | Data mining | Business | Machine learning | Payment,Imbalanced Data Classification Techniques,Artificial Intelligence,Computer Science,Physical Sciences,5,2,2,12,1,True,True,False,True,True,True,True,True
10.1016/j.dss.2010.02.008,Examining multi-dimensional trust and multi-faceted risk in initial acceptance of emerging technologies: An empirical study of mobile banking services,2010,2010-02-26,Xin Robert Luo | Han Li | Jie Zhang | J. P. Shim,University of New Mexico | Minnesota State University Moorhead | Virginia State University | Mississippi State University,US,1119,Unknown,,Risk perception | Artifact (error) | Perception | Technology acceptance model | Salient | Empirical research | Mobile banking | Antecedent (behavioral psychology) | Business | Wireless | Computer science | Marketing | Psychology | Telecommunications | Social psychology | Human–computer interaction | Usability,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,4,4,1,17,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2012.01.015,What drives consumers to spread electronic word of mouth in online consumer-opinion platforms,2012,2012-01-31,Christy M.K. Cheung | Matthew Andrew Lee,Hong Kong Baptist University | City University of Hong Kong,HK,1015,Unknown,,Reputation | Purchasing | Advertising | Word of mouth | Opinion leadership | The Internet | Consumer behaviour | Consumption (sociology) | Sample (material) | Social media | Variance (accounting) | Marketing | Business | Psychology | Computer science | Public relations | Sociology | Political science,Digital Marketing and Social Media,Sociology and Political Science,Social Sciences,Social Sciences,2,2,1,18,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2012.05.053,A review of modeling approaches for sustainable supply chain management,2012,2012-06-04,Stefan A. Seuring,University of Kassel,DE,1002,Unknown,,Supply chain | Computer science | Sustainability | Supply chain management | Field (mathematics) | Process (computing) | Hierarchy | Management science | Risk analysis (engineering) | Economics | Business | Marketing | Ecology,Sustainable Supply Chain Management,Strategy and Management,"Business, Management and Accounting",Social Sciences,1,1,1,13,1,False,False,False,True,True,True,True,True
10.1016/j.dss.2010.08.008,Data mining for credit card fraud: A comparative study,2010,2010-08-19,Siddhartha Bhattacharyya | Sanjeev Jha | Kurian Tharakunnel | James Christopher Westland,University of Illinois Urbana-Champaign | University of Illinois Chicago | Decision Sciences (United States) | University of New Hampshire | Millikin University,US,1002,Unknown,,Credit card | Credit card fraud | Chargeback | Computer science | Random forest | Logistic regression | Support vector machine | Business | Data mining | Credit card interest | Finance | Machine learning | Payment,Imbalanced Data Classification Techniques,Artificial Intelligence,Computer Science,Physical Sciences,4,5,1,13,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2010.01.010,"The impact of personal dispositions on information sensitivity, privacy concern and trust in disclosing health information online",2010,2010-01-30,Gaurav Kumar Bansal | Fatemeh Mariam Zahedi | David Gefen,University of Wisconsin–Green Bay | University of Wisconsin–Milwaukee | Drexel University,US,963,Unknown,,Personally identifiable information | Internet privacy | Information sensitivity | Personality | Health information | Health care | Information privacy | Psychology | Big Five personality traits | Medical information | Business | Social psychology | Knowledge management | Computer science | Political science | Computer security,"Privacy, Security, and Data Protection",Sociology and Political Science,Social Sciences,Social Sciences,3,3,1,16,1,False,True,False,True,True,True,True,True
10.1016/j.dss.2012.10.034,An empirical examination of continuance intention of mobile payment services,2012,2012-10-25,Tao Zhou,Hangzhou Dianzi University,CN,919,Unknown,,Continuance | Mobile payment | Service quality | Information quality | Business | Payment | Service provider | Structural equation modeling | Service (business) | Quality (philosophy) | Payment service provider | Order (exchange) | Information system | Computer science | Marketing | Psychology | Engineering | Social psychology | Finance,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,1,1,1,19,1,False,False,False,True,True,True,True,True
